,sound,midpoint,word,phoneme,stress,duration,intensity,F0,F1,F2,F3,Vowel,Context,F1/S(F1),F2/S(F2),F1g/S(F1g),F2g/S(F2g)
329,ngf_00610_00310506659,3.695,over,a,NA,0.0699999999999998,63.91471246780240,194.27988796914500,544.207551620412,1656.5470843212800,1957.9188630836300,BAT,over,1.2,1.159,NA,NA
336,ngf_00610_00310506659,5.140000000000000,depending,i,0,0.04,62.78654750669650,199.22962284273600,389.5471011275400,2383.713740500940,2946.716408611740,HAPPY,depending,0.859,1.668,NA,NA
338,ngf_00610_00310506659,5.285,depending,ɛ,1,0.0499999999999998,68.8288573982471,257.6224855411570,708.3179675451150,2076.673613106450,2812.9076330178000,DRESS,depending,1.561,1.453,NA,NA
341,ngf_00610_00310506659,5.395,depending,i,0,0.0499999999999998,68.77178276801980,282.51615371576000,522.4832884367700,2572.6045207112700,3140.060346141850,HAPPY,depending,1.152,1.8,NA,NA
344,ngf_00610_00310506659,5.495,on,a,NA,0.0299999999999993,67.88373189321390,236.49379941734700,692.1082018753290,1886.90748591221,2916.0303844293000,BAT,on,1.526,1.32,NA,NA
347,ngf_00610_00310506659,5.610000000000000,the,e,NA,0.04,63.59537808848870,181.891205898404,419.83629664328100,2064.94566365958,2910.0560603364700,FACE,the,0.925,1.445,NA,NA
349,ngf_00610_00310506659,5.73,location,o,0,0.04,64.5097444623494,172.39293225938600,449.1734929541020,1598.8535100060200,2843.064302172800,HOAX,location,0.99,1.119,NA,NA
351,ngf_00610_00310506659,5.885,location,e,1,0.0700000000000002,65.54592564263780,198.65677599771800,391.9505704048790,2592.798236962860,2977.6214769887400,FACE,location,0.864,1.814,NA,NA
353,ngf_00610_00310506659,6.02,location,ɔ,0,0.04,61.113059775609700,213.71264425640400,544.8691472040920,1936.7638335908000,3034.0723108361500,THOUGHT,location,1.201,1.355,NA,NA
355,ngf_00610_00310506659,6.125,of,ɔ,NA,0.0500000000000007,61.39170196247210,176.3726911834220,588.3779438299950,1628.9410358305200,2850.0180367131900,THOUGHT,of,1.297,1.14,NA,NA
358,ngf_00610_00310506659,6.275,the,i,NA,0.0300000000000002,57.231276634470100,77.13505162098310,387.68754948884700,2532.170410220790,3131.386147724180,HAPPY,the,0.855,1.772,NA,NA
359,ngf_00610_00310506659,6.305,economic,iː,0,0.0300000000000002,55.08239575927290,76.4965754678931,360.5715916214440,2668.2537721478800,2890.2813481070900,FLEECE,economic,0.795,1.867,NA,NA
361,ngf_00610_00310506659,6.470000000000000,economic,ɔ,1,0.04,62.2402807451851,205.32574438529300,682.6465267401950,1468.3564804904800,2768.892991046950,THOUGHT,economic,1.505,1.028,NA,NA
363,ngf_00610_00310506659,6.565,economic,ɔ,0,0.0300000000000002,64.9690746445483,200.75434161787700,602.2041072910360,2006.4760200930600,2990.742658069510,THOUGHT,economic,1.327,1.404,NA,NA
365,ngf_00610_00310506659,6.69,economic,i,0,0.0599999999999996,63.94917889744580,201.57114935091100,434.126917877117,2647.82635682117,3064.560850846190,HAPPY,economic,0.957,1.853,NA,NA
367,ngf_00610_00310506659,6.84,and,a,NA,0.08,53.72963659492710,--undefined--,707.0038218433680,1926.681503332830,2565.214000087050,BAT,and,1.559,1.348,NA,NA
370,ngf_00610_00310506659,6.995,military,i,0,0.0299999999999993,63.450014328288100,174.87458627018500,406.399132289562,2325.729006369130,2940.372841291690,HAPPY,military,0.896,1.627,NA,NA
372,ngf_00610_00310506659,7.0600000000000000,military,i,1,0.04,62.82440032703620,184.09968205469200,390.48845489415100,2580.043934184180,2912.742628522820,HAPPY,military,0.861,1.805,NA,NA
375,ngf_00610_00310506659,7.235000000000000,military,i,1,0.0300000000000002,61.47477725431990,185.3934890749580,351.2705731949050,2338.806164424950,2696.869087010920,HAPPY,military,0.774,1.637,NA,NA
378,ngf_00610_00310506659,7.550000000000000,power,a,NA,0.04,60.02990881223230,167.29002022877000,540.9311108480080,1149.1994277565600,2968.488787035580,BAT,power,1.192,0.804,NA,NA
